timestamp,device_id,seq,current_amp,gps_lat,gps_lon,battery_level,ble_id
2025-07-01T09:20:15Z,b4e1d9c2,410,7.3,52.393297,13.265675,67,F4:12:FA:6C:9D:21
2025-07-01T09:20:45Z,b4e1d9c2,411,5.79,52.393608,13.265867,67,F4:12:FA:6C:9D:21
2025-07-01T09:21:15Z,b4e1d9c2,412,5.51,52.393056,13.266646,67,
2025-07-01T09:21:45Z,b4e1d9c2,413,2.03,52.393065,13.26606,67,F4:12:FA:6C:9D:21
2025-07-01T09:22:15Z,b4e1d9c2,414,6.98,52.393793,13.266607,67,F4:12:FA:6C:9D:21
2025-07-01T09:22:45Z,b4e1d9c2,415,7.2,52.393938,13.265642,67,F4:12:FA:6C:9D:21
2025-07-01T09:23:15Z,b4e1d9c2,416,4.44,52.393219,13.265672,67,F4:12:FA:6C:9D:21
2025-07-01T09:23:45Z,b4e1d9c2,417,6.68,52.393013,13.267108,67,F4:12:FA:6C:9D:21
2025-07-01T09:24:15Z,b4e1d9c2,418,3.17,52.393857,13.266828,67,F4:12:FA:6C:9D:21
2025-07-01T09:24:45Z,b4e1d9c2,419,2.45,52.392907,13.266441,67,F4:12:FA:6C:9D:21
2025-07-01T09:25:15Z,b4e1d9c2,420,2.68,52.393361,13.265743,67,F4:12:FA:6C:9D:21
2025-07-01T09:25:45Z,b4e1d9c2,421,4.36,52.392893,13.266276,67,
2025-07-01T09:26:15Z,b4e1d9c2,422,7.73,52.393937,13.266809,67,F4:12:FA:6C:9D:21
2025-07-01T09:26:45Z,b4e1d9c2,423,4.02,52.393533,13.266385,67,
2025-07-01T09:27:15Z,b4e1d9c2,424,7.52,52.393699,13.265821,67,F4:12:FA:6C:9D:21
2025-07-01T09:27:45Z,b4e1d9c2,425,5.58,52.393088,13.265906,67,F4:12:FA:6C:9D:21
2025-07-01T09:28:15Z,b4e1d9c2,426,6.42,52.392864,13.266194,67,F4:12:FA:6C:9D:21
2025-07-01T09:28:45Z,b4e1d9c2,427,7.1,52.393797,13.2668,67,F4:12:FA:6C:9D:21
2025-07-01T09:29:15Z,b4e1d9c2,428,1.97,52.393204,13.26596,67,F4:12:FA:6C:9D:21
2025-07-01T09:29:45Z,b4e1d9c2,429,4.8,52.393387,13.266906,67,F4:12:FA:6C:9D:21
2025-07-01T09:30:15Z,b4e1d9c2,430,3.21,52.393401,13.26563,68,F4:12:FA:6C:9D:21
2025-07-01T19:39:26Z,9f8c2a7d,1743,3.08,52.377095,13.387355,81,
2025-07-01T19:39:56Z,9f8c2a7d,1744,3.96,52.37659,13.388315,81,
2025-07-01T19:40:26Z,9f8c2a7d,1745,7.88,52.376658,13.387214,81,
2025-07-01T19:40:56Z,9f8c2a7d,1746,5.04,52.377073,13.387345,81,
2025-07-01T19:41:26Z,9f8c2a7d,1747,4.61,52.376805,13.387927,81,
2025-07-01T19:41:56Z,9f8c2a7d,1748,7.59,52.376914,13.388336,81,
2025-07-01T19:42:26Z,9f8c2a7d,1749,4.97,52.376571,13.387961,81,
2025-07-01T19:42:56Z,9f8c2a7d,1750,1.68,52.377099,13.387192,81,
2025-07-01T19:43:26Z,9f8c2a7d,1751,5.82,52.376315,13.387285,81,
2025-07-01T19:43:56Z,9f8c2a7d,1752,2.48,52.377427,13.387691,81,
2025-07-01T19:44:26Z,9f8c2a7d,1753,3.6,52.377406,13.388162,81,
2025-07-01T19:44:56Z,9f8c2a7d,1754,6.94,52.377248,13.388011,81,
2025-07-01T19:45:26Z,9f8c2a7d,1755,5.54,52.376942,13.387493,81,
2025-07-01T19:45:56Z,9f8c2a7d,1756,3.23,52.376625,13.388364,81,
2025-07-01T19:46:26Z,9f8c2a7d,1757,4.87,52.376702,13.3873,81,
2025-07-01T19:46:56Z,9f8c2a7d,1758,4.38,52.37737,13.388508,81,
2025-07-01T19:47:26Z,9f8c2a7d,1759,6.15,52.37686,13.388231,81,
2025-07-01T19:47:56Z,9f8c2a7d,1760,2.27,52.376834,13.388159,81,
2025-07-01T19:48:26Z,9f8c2a7d,1761,5.14,52.376318,13.388172,81,
2025-07-01T19:48:56Z,9f8c2a7d,1762,6.92,52.377086,13.387513,81,
2025-07-01T19:49:26Z,9f8c2a7d,1763,3.54,52.377005,13.388196,81,
2025-07-01T19:49:56Z,9f8c2a7d,1764,4.44,52.377349,13.388363,81,
2025-07-01T19:50:26Z,9f8c2a7d,1765,5.9,52.376357,13.387551,81,
2025-07-01T19:50:56Z,9f8c2a7d,1766,6.25,52.377179,13.388072,81,
2025-07-01T19:51:26Z,9f8c2a7d,1767,3.14,52.376403,13.387686,81,
2025-07-01T19:51:56Z,9f8c2a7d,1768,7.66,52.377358,13.387529,81,
2025-07-01T19:52:26Z,9f8c2a7d,1769,2.4,52.377042,13.387184,81,
2025-07-01T19:52:56Z,9f8c2a7d,1770,5.68,52.377207,13.387689,81,
2025-07-01T19:53:26Z,9f8c2a7d,1771,3.63,52.377387,13.387865,81,
2025-07-01T19:53:56Z,9f8c2a7d,1772,5.42,52.376402,13.388514,81,
2025-07-01T19:54:26Z,9f8c2a7d,1773,6.13,52.377371,13.388214,81,
2025-07-01T19:54:56Z,9f8c2a7d,1774,7.26,52.377036,13.387848,81,
2025-07-01T19:55:26Z,9f8c2a7d,1775,7.17,52.377253,13.387618,81,
2025-07-01T19:55:56Z,9f8c2a7d,1776,5.19,52.3766,13.388025,81,
2025-07-01T19:56:26Z,9f8c2a7d,1777,1.75,52.377089,13.387502,81,
2025-07-01T19:56:56Z,9f8c2a7d,1778,4.21,52.376872,13.387168,81,
2025-07-01T19:57:26Z,9f8c2a7d,1779,2.06,52.376905,13.388638,81,
2025-07-01T19:57:56Z,9f8c2a7d,1780,2.98,52.377217,13.387735,81,
2025-07-01T19:58:26Z,9f8c2a7d,1781,8.2,52.376868,13.387709,81,
2025-07-01T19:58:56Z,9f8c2a7d,1782,4.64,52.376909,13.388044,81,
2025-07-01T19:59:26Z,9f8c2a7d,1783,6.19,52.376678,13.387361,81,
2025-07-01T23:33:52Z,9f8c2a7d,165,6.79,52.683285,13.41697,78,
2025-07-01T23:34:22Z,9f8c2a7d,166,7.53,52.684085,13.416666,78,
2025-07-01T23:34:52Z,9f8c2a7d,167,7.21,52.683754,13.417411,78,
2025-07-01T23:35:22Z,9f8c2a7d,168,6.78,52.683936,13.418023,78,
2025-07-01T23:35:52Z,9f8c2a7d,169,4.93,52.683477,13.417442,78,
2025-07-01T23:36:22Z,9f8c2a7d,170,6.76,52.684119,13.418114,78,
2025-07-01T23:36:52Z,9f8c2a7d,171,2.18,52.683807,13.416772,78,
2025-07-01T23:37:22Z,9f8c2a7d,172,6.3,52.683483,13.41744,78,
2025-07-01T23:37:52Z,9f8c2a7d,173,7.23,52.683385,13.416777,78,
2025-07-01T23:38:22Z,9f8c2a7d,174,4.53,52.683512,13.418086,78,
2025-07-01T23:38:52Z,9f8c2a7d,175,6.4,52.684151,13.418082,78,
2025-07-01T23:39:22Z,9f8c2a7d,176,3.83,52.683526,13.417571,78,
2025-07-01T23:39:52Z,9f8c2a7d,177,2.26,52.683575,13.416743,78,
2025-07-01T23:40:22Z,9f8c2a7d,178,6.43,52.683499,13.417327,78,
2025-07-01T23:40:52Z,9f8c2a7d,179,7.43,52.684003,13.417601,78,
2025-07-01T23:41:22Z,9f8c2a7d,180,3.9,52.683709,13.417191,78,
